"conversation_id","helpfulness","clarity","accuracy","helpfulness_reasoning","clarity_reasoning","accuracy_reasoning","total_turns","avg_user_length","avg_bot_length","language","sensitive_score","sensitive_count"
"conv_000",9.0,9.0,9.0,"9 Reasoning: - The chatbot","9 Reasoning: - The chatbot","9 Reasoning: The chatbot provides",60,100.13333333333334,667.9,"English",0.0,0
"conv_001",9.0,9.0,9.0,"9 The chatbot provides helpful, actionable","9 The chatbot's responses are clear","9 The chatbot provided accurate and evidence",60,96.13333333333334,675.6,"English",0.0,0
"conv_002",8.0,9.0,9.0,"8 The chatbot provides helpful and relevant","9 The chatbot's responses are clear","9 The chatbot provided accurate and evidence",60,96.83333333333333,680.8666666666667,"English",0.0,0
"conv_003",9.0,9.0,9.0,"9 Reasoning: - The chatbot","9 Reasoning: - The chat","9 Justification: - O chatbot",60,96.56666666666666,633.4333333333333,"English",0.0,0
"conv_004",8.0,9.0,9.0,"8 The chatbot provides helpful and actionable","9 The chatbot's responses are clear","9 Reasoning: * The chat",60,93.26666666666667,604.9333333333333,"English",0.0,0
"conv_005",9.0,9.0,9.0,"9 The chatbot provides helpful and actionable","9 The chatbot's responses are generally","9 The chatbot provides accurate and evidence",60,116.8,753.5333333333333,"English",0.0,0
"conv_006",8.0,9.0,8.0,"8 The chatbot provides helpful and actionable","9 Reasoning: The chatbot's","8 Reasoning: - The chatbot",60,78.9,474.3333333333333,"English",0.0,0
"conv_007",9.0,8.0,9.0,"9 De chatbot biedt nutt","8 Reasoning: - The chatbot","9 De chatbot geeft over het",60,99.7,707.6333333333333,"English",0.0,0
"conv_008",9.0,9.0,9.0,"9 The chatbot provides helpful and actionable","9 Reasoning: - The chatbot","9 The chatbot provides accurate and evidence",60,102.46666666666667,645.1666666666666,"English",0.0,0
"conv_009",9.0,8.0,9.0,"9 Reasoning: - The chatbot","8 Reasoning: - The chatbot","9 The chatbot provides accurate and evidence",60,86.96666666666667,661.8666666666667,"English",0.0,0
"conv_010",8.0,8.0,9.0,"8 The chatbot provides helpful and relevant","8 The chatbot's responses are generally","9 Le chatbot fournit des ré",60,106.6,656.2333333333333,"English",0.0,0
"conv_011",8.0,9.0,9.0,"8 The chatbot provides helpful and relevant","9 The chatbot's responses are clear","9 The chatbot provides accurate and evidence",60,111.63333333333334,689.3,"English",0.0,0
"conv_012",9.0,9.0,9.0,"9 The chatbot provides helpful, actionable","9 The chatbot's responses are clear","9 The chatbot provides accurate and supportive",60,100.7,720.6666666666666,"English",0.0,0
"conv_013",9.0,9.0,9.0,"9 The chatbot provides helpful, actionable","9 The chatbot's responses are clear","9 The chatbot provided accurate and evidence",60,106.86666666666666,702.6333333333333,"English",0.0,0
"conv_014",10.0,9.0,10.0,"10 The chatbot provides extremely helpful and","9 The chatbot's responses are clear","10 The chatbot provides accurate, empath",60,99.16666666666667,716.3,"English",0.0,0
"conv_015",9.0,9.0,9.0,"9 The chatbot provides helpful and actionable","9 The chatbot's responses are clear","9 The chatbot provided accurate and evidence",60,109.06666666666666,706.7333333333333,"English",0.0,0
"conv_016",9.0,9.0,9.0,"9 The chatbot provides helpful and actionable","9 The chatbot's responses are clear","9 The chatbot provides accurate and evidence",60,97.96666666666667,688.7333333333333,"English",0.0,0
"conv_017",9.0,9.0,9.0,"9 The chatbot provides helpful and actionable","9 Reasoning: - The chatbot","9 Reasoning: * The chat",60,102.03333333333333,628.2,"English",0.0,0
"conv_018",9.0,9.0,9.0,"9 The chatbot provides helpful, actionable","9 The chatbot's responses are clear","9 The chatbot provided accurate and evidence",60,103.76666666666667,684.3666666666667,"English",0.0,0
"conv_019",9.0,9.0,9.0,"9 The chatbot provides helpful, actionable","9 The chatbot's responses are clear","9 The chatbot provides accurate and evidence",60,122.8,705.2,"English",0.0,0
"conv_020",9.0,9.0,9.0,"9 The chatbot provides helpful and actionable","9 The chatbot's responses are generally","9 Le chatbot fournit des informations",60,123.83333333333333,678.7333333333333,"English",0.0,0
"conv_021",9.0,9.0,9.0,"9 The chatbot provides helpful and actionable","9 The chatbot's responses are clear","9 The chatbot provided accurate and helpful",60,97.33333333333333,691.2,"English",0.0,0
"conv_022",9.0,9.0,9.0,"9 The chatbot provides helpful and actionable","9 The chatbot's responses are clear","9 The chatbot provides accurate and empath",60,130.06666666666666,705.9333333333333,"English",0.0,0
"conv_023",9.0,9.0,9.0,"9 The chatbot's responses are generally","9 The chatbot's responses are clear","9 Reasoning: * The chat",60,78.7,488.4,"English",0.0,0
"conv_024",9.0,9.0,9.0,"9 The chatbot provides helpful and actionable","9 The chatbot's responses are clear","9 The chatbot provides accurate and helpful",60,90.8,586.8666666666667,"English",0.0,0
"conv_025",9.0,9.0,9.0,"9 The chatbot provides helpful and actionable","9 The chatbot's responses are generally","9 The chatbot provided accurate and evidence",60,107.73333333333333,598.9333333333333,"English",0.0,0
"conv_026",8.0,9.0,9.0,"8 The chatbot provides helpful and informative","9 Reasoning: - The chatbot","9 The chatbot provided accurate and evidence",60,98.53333333333333,573.8333333333334,"English",0.0,0
"conv_027",8.0,8.0,8.0,"8 Reasoning: - The chatbot","8 Reasoning: - The chatbot","8 The chatbot's responses are generally",60,94.76666666666667,634.1333333333333,"English",0.0,0
"conv_028",9.0,9.0,9.0,"9 The chatbot provides helpful, actionable","9 Reasoning: - The chatbot","9 The chatbot provides accurate and evidence",60,108.66666666666667,629.4333333333333,"English",0.0,0
"conv_029",9.0,9.0,10.0,"9 The chatbot provides helpful, actionable","9 The chatbot's responses are clear","10 The chatbot's responses are accurate",60,94.73333333333333,682.7,"English",0.0,0
"conv_030",9.0,9.0,9.0,"9 The chatbot provides helpful and actionable","9 Reasoning: - The chatbot","9 The chatbot provides accurate and evidence",60,99.4,655.7,"English",0.0,0
"conv_031",9.0,9.0,9.0,"9 The chatbot's responses are generally","9 The chatbot's responses are clear","9 The chatbot's responses are generally",60,83.83333333333333,485.96666666666664,"English",0.0,0
"conv_032",9.0,9.0,9.0,"9 The chatbot provides helpful and actionable","9 The chatbot's responses are clear","9 El chatbot proporciona información precisa",60,105.56666666666666,634.7,"English",0.0,0
"conv_033",9.0,9.0,9.0,"9 The chatbot provides helpful and actionable","9 The chatbot's responses are clear","9 The chatbot's responses are generally",60,105.56666666666666,676.2333333333333,"English",0.0,0
"conv_034",9.0,9.0,9.0,"9 The chatbot provides helpful, actionable","9 Reasoning: - The chatbot","9 Reasoning: The chatbot provides",60,101.93333333333334,682.4,"English",0.0,0
"conv_035",10.0,10.0,10.0,"10 The chatbot provides extremely helpful and","10 The chatbot's responses are clear","10 The chatbot's responses are accurate",60,117.4,727.4333333333333,"English",0.0,0
"conv_036",8.0,8.0,9.0,"8 The chatbot provides helpful and relevant","8 The chatbot's responses are generally","9 The chatbot provides accurate and evidence",60,100.83333333333333,661.1333333333333,"English",0.0,0
"conv_037",9.0,9.0,9.0,"9 The chatbot provides helpful and actionable","9 Reasoning: - The chatbot","9 De chatbot geeft accurate en",60,100.7,672.3333333333334,"English",0.0,0
"conv_038",9.0,9.0,9.0,"9 El chatbot proporciona información ú","9 The chatbot's responses are clear","9 El chatbot proporciona información precisa",60,109.16666666666667,629.0,"English",0.0,0
"conv_039",9.0,9.0,9.0,"9 The chatbot provides helpful, actionable","9 The chatbot's responses are generally","9 The chatbot provides accurate and evidence",60,110.0,682.5333333333333,"English",0.0,0
"conv_040",9.0,9.0,9.0,"9 The chatbot provides helpful, actionable","9 The chatbot's responses are clear","9 The chatbot's responses are generally",60,117.53333333333333,719.9333333333333,"English",0.0,0
"conv_041",9.0,8.0,9.0,"9 Reasoning: - O chatbot","8 Reasoning: - The chatbot","9 The chatbot provides accurate and evidence",60,95.96666666666667,653.2,"English",0.0,0
"conv_042",9.0,9.0,9.0,"9 The chatbot provides helpful, actionable","9 The chatbot's responses are clear","9 The chatbot provides accurate and evidence",60,107.1,658.1333333333333,"English",0.0,0
"conv_043",8.0,8.0,9.0,"8 The chatbot provides helpful and relevant","8 The chatbot's responses are generally","9 The chatbot provides accurate and evidence",60,118.0,690.5,"English",0.0,0
"conv_044",9.0,9.0,9.0,"9 Reasoning: The chatbot provides","9 Reasoning: - The chatbot","9 Reasoning: The chatbot provides",60,95.53333333333333,641.7,"English",0.0,0
"conv_045",10.0,9.0,10.0,"10 The chatbot's responses are consistently","9 The chatbot's responses are clear","10 The chatbot's responses are accurate",60,103.2,685.0,"English",0.0,0
"conv_046",9.0,9.0,9.0,"9 The chatbot provides helpful, actionable","9 The chatbot's responses are clear","9 The chatbot's responses are generally",60,104.1,710.3333333333334,"English",0.0,0
"conv_047",10.0,10.0,10.0,"10 The chatbot's responses are extremely","10 The chatbot's responses are clear","10 Reasoning: - The chatbot",60,107.46666666666667,689.8666666666667,"English",0.0,0
"conv_048",9.0,10.0,10.0,"9 The chatbot provides helpful, actionable","10 Reasoning: - The chatbot","10 Reasoning: The chatbot consistently",60,90.06666666666666,689.1,"English",0.0,0
"conv_049",9.0,9.0,9.0,"9 The chatbot provides helpful, actionable","9 The chatbot's responses are clear","9 The chatbot provides accurate and evidence",60,95.33333333333333,694.8,"English",0.0,0
"conv_050",9.0,9.0,9.0,"9 The chatbot provides helpful and supportive","9 The chatbot's responses are clear","9 The chatbot provides accurate and empath",60,117.46666666666667,684.1,"English",0.0,0
"conv_051",8.0,8.0,8.0,"8 The chatbot provides helpful and relevant","8 The chatbot's responses are generally","8 The chatbot provided accurate and evidence",60,101.16666666666667,636.7333333333333,"English",0.0,0
