conversation_id,user_rating,observer_rating,self_rating,language
conv_000,9.0,8.5,8.5,Dutch
conv_001,9.0,8.5,8.5,English
conv_002,8.5,8.5,8.5,English
conv_003,9.0,8.5,8.5,Portuguese
conv_004,9.0,8.5,9.0,Spanish
conv_005,9.0,9.0,8.5,French
conv_006,9.0,8.5,8.5,Arabic
conv_007,9.0,8.5,8.5,Dutch
conv_008,9.0,8.5,9.0,Spanish
conv_009,9.0,8.5,8.5,Dutch
conv_010,9.0,8.5,8.5,French
conv_011,9.0,8.5,8.5,German
conv_012,9.0,8.5,8.5,English
conv_013,9.0,9.0,8.5,English
conv_014,9.0,8.5,8.5,English
conv_015,9.0,8.5,8.5,English
conv_016,9.0,8.5,9.0,French
conv_017,9.0,8.5,8.5,Spanish
conv_018,9.0,8.5,9.0,English
conv_019,9.0,9.0,9.0,French
conv_020,9.0,9.0,8.5,French
conv_021,9.0,9.0,9.0,English
conv_022,9.0,9.0,9.0,French
conv_023,9.0,8.5,9.0,Arabic
conv_024,9.0,8.5,9.0,Swahili
conv_025,9.0,9.0,9.0,Spanish
conv_026,9.0,8.5,8.5,Swahili
conv_027,9.0,8.5,8.5,Dutch
conv_028,9.0,8.5,9.0,Spanish
conv_029,9.0,9.0,9.0,English
conv_030,9.0,9.0,9.0,Spanish
conv_031,9.0,8.5,8.5,Arabic
conv_032,9.0,9.0,9.0,Spanish
conv_033,9.0,9.0,8.5,French
conv_034,9.0,8.5,9.0,Dutch
conv_035,9.0,9.0,8.5,English
conv_036,9.0,8.5,8.5,German
conv_037,9.0,8.5,8.5,Dutch
conv_038,9.0,9.0,9.0,Spanish
conv_039,9.0,9.0,8.5,French
conv_040,9.0,8.5,8.5,English
conv_041,9.0,8.5,8.5,Portuguese
conv_042,9.0,8.5,8.5,English
conv_043,9.0,8.5,8.5,French
conv_044,9.0,8.5,9.0,Dutch
conv_045,9.0,9.0,9.0,English
conv_046,9.0,8.5,8.5,English
conv_047,9.0,8.5,9.0,English
conv_048,9.0,8.5,9.0,English
conv_049,9.0,8.5,9.0,English
conv_050,9.0,8.5,9.0,French
conv_051,9.0,8.5,8.5,Portuguese
conv_052,9.0,8.5,8.5,English
conv_053,9.0,9.0,9.0,Spanish
conv_054,9.0,9.0,8.5,Portuguese
conv_055,9.0,9.0,9.0,Spanish
conv_056,8.5,8.5,8.5,Spanish
conv_057,9.0,8.5,8.5,French
conv_058,9.0,8.5,8.5,Portuguese
conv_059,9.0,9.0,9.0,Spanish
conv_060,9.0,9.0,9.0,Spanish
conv_061,9.0,9.0,8.5,English
conv_062,8.5,8.5,8.5,Portuguese
conv_063,9.0,8.5,8.5,English
conv_064,9.0,9.0,9.0,French
conv_065,9.0,8.5,9.0,Swahili
conv_066,9.0,8.5,8.5,Arabic
conv_067,9.0,8.5,9.0,Swahili
conv_068,9.0,9.0,9.0,German
conv_069,9.0,8.5,8.5,Spanish
conv_070,9.0,9.0,9.0,English
conv_071,9.0,8.5,8.5,Swahili
conv_072,9.0,8.5,9.0,English
conv_073,9.0,8.5,8.5,French
conv_074,9.0,8.5,9.0,French
conv_075,9.0,8.5,8.5,Swahili
conv_076,9.0,8.5,9.0,Swahili
conv_077,9.0,9.0,8.5,French
conv_078,9.0,8.5,8.5,English
conv_079,9.0,9.0,8.5,English
conv_080,9.0,8.5,9.0,Portuguese
conv_081,9.0,8.5,9.0,German
conv_082,9.0,9.0,9.0,English
conv_083,9.0,8.5,8.5,Spanish
conv_084,9.0,8.5,8.5,Swahili
conv_085,9.0,9.0,9.0,Spanish
conv_086,9.0,8.5,9.0,Arabic
conv_087,9.0,8.5,9.0,Swahili
conv_088,9.0,8.5,8.5,Dutch
conv_089,9.0,8.5,8.5,German
conv_090,9.0,8.5,9.0,Portuguese
conv_091,9.0,8.5,9.0,Dutch
conv_092,9.0,8.5,9.0,German
conv_093,9.0,8.5,9.0,English
conv_094,9.0,8.5,8.5,German
conv_095,9.0,8.5,8.5,English
conv_096,9.0,8.5,8.5,Swahili
conv_097,9.0,8.5,8.5,Spanish
conv_098,9.0,8.5,9.0,English
conv_099,9.0,9.0,9.0,Spanish
conv_100,9.0,9.0,8.5,English
conv_101,8.5,8.5,8.5,Dutch
conv_102,9.0,8.5,8.5,Spanish
conv_103,9.0,8.5,8.5,Swahili
conv_104,9.0,9.0,8.5,Arabic
conv_105,9.0,8.5,9.0,Spanish
conv_106,9.0,8.5,8.5,Swahili
conv_107,9.0,8.5,8.5,German
conv_108,9.0,8.5,8.5,English
conv_109,9.0,8.5,8.5,English
conv_110,9.0,8.5,8.5,English
conv_111,8.5,8.5,8.5,French
conv_112,9.0,9.0,9.0,French
conv_113,9.0,9.0,9.0,French
conv_114,9.0,9.0,9.0,French
conv_115,9.0,9.0,9.0,Portuguese
conv_116,9.0,8.5,9.0,Swahili
conv_117,9.0,8.5,8.5,Swahili
conv_118,9.0,8.5,8.5,Swahili
conv_119,9.0,9.0,9.0,Dutch
conv_120,9.0,8.5,8.5,Dutch
conv_121,9.0,8.5,8.5,English
conv_122,9.0,8.5,8.5,Spanish
conv_123,9.0,8.5,9.0,German
conv_124,9.0,8.5,9.0,Spanish
conv_125,9.0,8.5,8.5,English
conv_126,9.0,9.0,9.0,Spanish
conv_127,9.0,9.0,9.0,English
conv_128,9.0,8.5,8.5,English
conv_129,9.0,8.5,8.5,German
conv_130,9.0,9.0,9.0,French
conv_131,9.0,9.0,9.0,Spanish
conv_132,8.5,8.5,8.5,Dutch
conv_133,9.0,9.0,9.0,Dutch
conv_134,9.0,8.5,9.0,Spanish
conv_135,9.0,8.5,8.5,English
conv_136,9.0,8.5,8.5,Dutch
conv_137,9.0,9.0,9.0,French
conv_138,9.0,8.5,9.0,French
conv_139,9.0,9.0,8.5,English
conv_140,9.0,9.0,8.5,French
conv_141,9.0,9.0,9.0,Portuguese
conv_142,9.0,9.0,8.5,French
conv_143,9.0,8.5,8.5,Portuguese
conv_144,9.0,8.5,8.5,Portuguese
conv_145,9.0,8.5,8.5,Spanish
conv_146,9.0,8.5,8.5,Portuguese
conv_147,9.0,8.5,9.0,Spanish
conv_148,9.0,8.5,8.5,English
conv_149,9.0,9.0,9.0,Spanish
conv_150,9.0,9.0,9.0,French
conv_151,9.0,8.5,8.5,German
conv_152,9.0,8.5,8.5,Swahili
conv_153,9.0,8.5,9.0,Spanish
conv_154,9.0,8.5,8.5,French
conv_155,9.0,8.5,8.5,French
conv_156,9.0,8.5,8.5,Dutch
conv_157,9.0,9.0,9.0,French
conv_158,9.0,9.0,9.0,French
conv_159,9.0,9.0,9.0,Spanish
conv_160,9.0,8.5,8.5,Dutch
conv_161,8.5,8.5,8.5,German
conv_162,9.0,8.5,8.5,English
conv_163,9.0,9.0,9.0,French
conv_164,9.0,9.0,9.0,Spanish
conv_165,8.5,8.5,8.5,German
conv_166,9.0,8.5,8.5,English
conv_167,9.0,9.5,9.0,Swahili
conv_168,9.0,9.0,9.0,German
conv_169,9.0,9.0,9.0,Portuguese
conv_170,9.0,8.5,8.5,Swahili
conv_171,9.0,8.5,8.5,Dutch
conv_172,9.0,8.5,9.0,Spanish
conv_173,9.0,8.5,8.5,Spanish
conv_174,9.0,8.5,8.5,French
conv_175,9.0,9.0,9.0,French
conv_176,9.0,9.0,8.5,Portuguese
