Conversation_Id,Clinical Accuracy & Safety_Rating,Clarity & Understandability_Rating,Actionability_Rating,Empathy & Supportiveness_Rating,Adaptability & Personalization_Rating,Trustworthiness & Ethical Communication_Rating
0,4.0,5.0,4.0,9.0,6.0,6.0
1,8.0,7.0,7.0,9.0,8.0,8.0
2,6.0,7.0,8.0,9.0,8.0,8.0
3,7.0,7.0,7.0,9.0,8.0,8.0
4,7.0,8.0,7.0,9.0,8.0,8.0
5,4.0,6.0,4.0,8.0,4.0,5.0
6,4.0,6.0,4.0,9.0,6.0,6.0
7,4.0,5.0,5.0,9.0,6.0,6.0
8,6.0,6.0,6.0,9.0,8.0,8.0
9,6.0,6.0,5.0,9.0,7.0,8.0
10,4.0,6.0,4.0,9.0,6.0,7.0
11,4.0,5.0,4.0,9.0,6.0,7.0
12,7.0,8.0,6.0,9.0,8.0,8.0
13,5.0,8.0,6.0,10.0,8.0,8.0
14,6.0,8.0,6.0,10.0,9.0,8.0
15,7.0,8.0,6.0,9.0,8.0,8.0
16,4.0,6.0,4.0,9.0,6.0,7.0
17,4.0,4.0,4.0,6.0,4.0,5.0
18,7.0,8.0,7.0,9.0,8.0,8.0
19,6.0,8.0,6.0,9.0,7.0,8.0
20,4.0,5.0,4.0,8.0,4.0,5.0
21,6.0,7.0,6.0,10.0,8.0,8.0
22,4.0,6.0,4.0,9.0,5.0,4.0
23,5.0,7.0,5.0,9.0,7.0,7.0
24,4.0,4.0,4.0,4.0,4.0,4.0
25,7.0,8.0,7.0,9.0,8.0,9.0
26,6.0,7.0,5.0,9.0,7.0,8.0
27,5.0,4.0,4.0,8.0,5.0,6.0
28,4.0,5.0,4.0,9.0,8.0,6.0
29,6.0,7.0,6.0,9.0,8.0,8.0
30,5.0,6.0,4.0,9.0,7.0,8.0
31,4.0,5.0,4.0,9.0,5.0,4.0
32,7.0,6.0,5.0,9.0,7.0,8.0
33,6.0,4.0,4.0,9.0,7.0,7.0
34,8.0,8.0,6.0,9.0,8.0,8.0
35,4.0,6.0,4.0,9.0,8.0,7.0
36,3.0,4.0,4.0,9.0,4.0,4.0
37,5.0,6.0,6.0,9.0,6.0,6.0
38,4.0,7.0,6.0,9.0,8.0,8.0
39,4.0,6.0,4.0,8.0,6.0,7.0
40,5.0,6.0,6.0,9.0,9.0,8.0
41,5.0,6.0,4.0,9.0,6.0,6.0
42,8.0,8.0,8.0,9.0,8.0,8.0
43,6.0,7.0,5.0,9.0,7.0,8.0
44,6.0,6.0,6.0,9.0,6.0,8.0
45,6.0,8.0,7.0,10.0,8.0,9.0
