Conversation_Id,Clinical Accuracy & Safety_Rating,Clarity & Understandability_Rating,Actionability_Rating,Empathy & Supportiveness_Rating,Adaptability & Personalization_Rating,Trustworthiness & Ethical Communication_Rating
0,3.0,4.0,3.0,6.0,4.0,4.0
1,4.0,4.0,3.0,4.0,3.0,4.0
2,4.0,4.0,3.0,3.0,3.0,4.0
3,2.0,3.0,2.0,3.0,2.0,3.0
4,4.0,4.0,3.0,4.0,3.0,4.0
5,3.0,4.0,3.0,6.0,4.0,4.0
6,3.0,3.0,2.0,3.0,2.0,2.0
7,4.0,4.0,3.0,4.0,3.0,4.0
8,3.0,4.0,3.0,4.0,3.0,4.0
9,3.0,4.0,3.0,5.0,4.0,4.0
10,3.0,4.0,3.0,6.0,4.0,4.0
11,4.0,4.0,3.0,5.0,4.0,4.0
12,4.0,4.0,3.0,6.0,4.0,4.0
13,4.0,4.0,4.0,6.0,4.0,4.0
14,4.0,6.0,4.0,9.0,7.0,7.0
15,4.0,4.0,3.0,4.0,4.0,4.0
16,3.0,4.0,3.0,8.0,4.0,4.0
17,4.0,4.0,3.0,4.0,4.0,4.0
18,6.0,6.0,4.0,8.0,6.0,7.0
19,3.0,4.0,2.0,6.0,4.0,4.0
20,4.0,5.0,3.0,7.0,4.0,4.0
21,4.0,4.0,3.0,8.0,4.0,4.0
22,4.0,4.0,3.0,4.0,3.0,3.0
23,3.0,4.0,2.0,4.0,3.0,4.0
24,3.0,4.0,2.0,3.0,3.0,3.0
25,3.0,4.0,3.0,4.0,4.0,4.0
26,2.0,3.0,2.0,3.0,2.0,3.0
27,3.0,4.0,3.0,5.0,4.0,4.0
28,5.0,4.0,3.0,5.0,4.0,4.0
29,4.0,4.0,3.0,4.0,4.0,4.0
30,4.0,4.0,4.0,4.0,4.0,4.0
31,3.0,4.0,2.0,4.0,3.0,4.0
32,4.0,4.0,3.0,4.0,3.0,4.0
33,3.0,4.0,2.0,4.0,3.0,3.0
34,3.0,4.0,2.0,4.0,3.0,3.0
35,4.0,4.0,3.0,8.0,4.0,4.0
36,3.0,4.0,3.0,8.0,4.0,4.0
37,2.0,3.0,2.0,4.0,3.0,3.0
38,3.0,4.0,3.0,4.0,3.0,3.0
39,2.0,4.0,2.0,5.0,3.0,3.0
40,4.0,4.0,4.0,8.0,6.0,4.0
41,3.0,5.0,3.0,6.0,3.0,4.0
42,4.0,5.0,4.0,7.0,4.0,6.0
43,4.0,5.0,4.0,8.0,4.0,6.0
44,2.0,3.0,2.0,4.0,3.0,3.0
45,4.0,7.0,4.0,9.0,6.0,7.0
46,4.0,4.0,3.0,4.0,3.0,4.0
47,4.0,4.0,3.0,6.0,3.0,4.0
48,4.0,4.0,3.0,5.0,4.0,4.0
49,4.0,6.0,6.0,9.0,7.0,7.0
50,2.0,4.0,2.0,6.0,3.0,4.0
51,3.0,4.0,3.0,5.0,4.0,4.0
52,3.0,4.0,3.0,4.0,3.0,3.0
53,3.0,4.0,3.0,4.0,3.0,4.0
54,4.0,4.0,4.0,5.0,4.0,4.0
55,4.0,4.0,3.0,4.0,3.0,4.0
56,4.0,3.0,2.0,3.0,3.0,3.0
57,4.0,7.0,4.0,10.0,7.0,8.0
58,3.0,3.0,3.0,4.0,3.0,4.0
59,4.0,5.0,4.0,6.0,4.0,4.0
60,4.0,4.0,4.0,4.0,4.0,4.0
61,3.0,4.0,3.0,4.0,4.0,4.0
62,3.0,4.0,3.0,4.0,3.0,4.0
63,4.0,6.0,4.0,8.0,4.0,7.0
64,2.0,3.0,2.0,4.0,3.0,3.0
65,2.0,3.0,2.0,4.0,3.0,3.0
66,4.0,4.0,2.0,4.0,3.0,4.0
67,3.0,3.0,3.0,4.0,3.0,3.0
68,4.0,4.0,4.0,7.0,4.0,4.0
69,3.0,3.0,3.0,4.0,3.0,3.0
70,4.0,6.0,4.0,8.0,6.0,6.0
71,2.0,2.0,2.0,3.0,2.0,3.0
72,4.0,6.0,4.0,9.0,7.0,6.0
73,4.0,5.0,3.0,8.0,4.0,4.0
74,4.0,5.0,4.0,9.0,6.0,6.0
75,2.0,3.0,1.0,3.0,3.0,3.0
76,2.0,2.0,1.0,2.0,2.0,3.0
77,3.0,4.0,3.0,7.0,4.0,4.0
78,4.0,4.0,3.0,4.0,4.0,4.0
79,4.0,4.0,3.0,6.0,4.0,4.0
80,4.0,4.0,3.0,8.0,4.0,5.0
81,3.0,3.0,3.0,7.0,4.0,4.0
82,4.0,4.0,3.0,4.0,4.0,5.0
83,4.0,4.0,3.0,7.0,4.0,4.0
84,3.0,3.0,2.0,3.0,3.0,3.0
85,4.0,4.0,3.0,6.0,4.0,5.0
86,3.0,4.0,3.0,4.0,4.0,4.0
87,2.0,3.0,2.0,3.0,3.0,3.0
88,4.0,4.0,3.0,6.0,4.0,4.0
89,3.0,4.0,3.0,4.0,4.0,4.0
90,4.0,4.0,3.0,4.0,3.0,3.0
91,4.0,4.0,3.0,6.0,4.0,4.0
92,1.0,3.0,1.0,4.0,3.0,3.0
93,3.0,4.0,4.0,9.0,7.0,4.0
94,3.0,4.0,2.0,4.0,4.0,4.0
95,4.0,4.0,3.0,7.0,4.0,4.0
96,3.0,4.0,2.0,4.0,3.0,4.0
97,4.0,4.0,3.0,4.0,4.0,4.0
98,3.0,4.0,3.0,8.0,4.0,4.0
99,4.0,3.0,2.0,3.0,3.0,3.0
100,3.0,4.0,3.0,6.0,4.0,4.0
101,4.0,4.0,2.0,6.0,3.0,4.0
102,4.0,4.0,3.0,4.0,3.0,4.0
103,2.0,2.0,1.0,2.0,2.0,2.0
104,3.0,4.0,2.0,3.0,3.0,3.0
105,4.0,4.0,3.0,3.0,3.0,4.0
106,1.0,3.0,1.0,3.0,2.0,3.0
107,4.0,4.0,3.0,5.0,4.0,4.0
108,4.0,6.0,4.0,9.0,8.0,7.0
109,3.0,4.0,2.0,4.0,3.0,3.0
110,4.0,4.0,3.0,6.0,4.0,5.0
111,4.0,4.0,3.0,6.0,3.0,4.0
112,3.0,4.0,2.0,6.0,3.0,3.0
113,2.0,3.0,3.0,5.0,3.0,3.0
114,3.0,4.0,3.0,4.0,3.0,4.0
115,5.0,6.0,4.0,9.0,6.0,6.0
116,2.0,3.0,2.0,3.0,2.0,2.0
117,2.0,3.0,2.0,3.0,2.0,3.0
118,3.0,3.0,3.0,4.0,4.0,4.0
119,4.0,4.0,3.0,6.0,4.0,4.0
120,3.0,4.0,3.0,5.0,3.0,4.0
121,3.0,4.0,4.0,8.0,4.0,4.0
122,3.0,4.0,3.0,4.0,3.0,4.0
123,2.0,3.0,3.0,4.0,3.0,3.0
124,4.0,3.0,2.0,3.0,3.0,3.0
125,3.0,4.0,3.0,4.0,4.0,4.0
126,4.0,4.0,3.0,4.0,4.0,4.0
127,4.0,4.0,4.0,6.0,4.0,5.0
128,4.0,5.0,4.0,8.0,5.0,5.0
129,4.0,4.0,2.0,4.0,3.0,4.0
130,3.0,4.0,2.0,6.0,3.0,4.0
131,4.0,4.0,3.0,4.0,3.0,3.0
132,4.0,4.0,3.0,4.0,4.0,4.0
133,4.0,4.0,3.0,4.0,4.0,4.0
134,4.0,4.0,3.0,4.0,3.0,4.0
135,4.0,4.0,3.0,8.0,5.0,5.0
136,4.0,4.0,4.0,9.0,4.0,6.0
137,2.0,3.0,2.0,4.0,3.0,3.0
138,3.0,4.0,3.0,6.0,4.0,4.0
139,4.0,5.0,4.0,9.0,4.0,5.0
140,2.0,4.0,2.0,4.0,3.0,3.0
141,3.0,4.0,3.0,4.0,3.0,4.0
142,3.0,4.0,3.0,8.0,4.0,4.0
143,4.0,4.0,4.0,8.0,4.0,5.0
144,4.0,4.0,3.0,6.0,4.0,4.0
145,3.0,4.0,3.0,4.0,4.0,4.0
146,4.0,4.0,4.0,7.0,4.0,4.0
147,4.0,4.0,2.0,4.0,3.0,4.0
148,4.0,4.0,3.0,8.0,6.0,5.0
