Conversation_Id,User_Rating,Observer_Rating,Self_Rating
0,4.0,4.0,4.0
1,3.0,4.0,4.0
2,4.0,4.0,4.0
3,3.0,3.0,3.0
4,3.0,3.0,3.0
5,4.0,4.0,4.0
6,3.0,3.0,3.0
7,3.0,4.0,4.0
8,4.0,4.0,4.0
9,4.0,4.0,4.0
10,4.0,4.0,5.0
11,4.0,4.0,4.0
12,4.0,4.0,4.0
13,4.0,4.0,4.0
14,6.0,6.0,7.0
15,4.0,4.0,4.0
16,4.0,4.0,4.0
17,4.0,4.0,4.0
18,6.0,5.0,6.0
19,4.0,4.0,4.0
20,4.0,4.0,5.0
21,4.0,4.0,5.0
22,4.0,3.0,4.0
23,4.0,4.0,4.0
24,3.0,3.0,3.0
25,4.0,4.0,4.0
26,3.0,3.0,3.0
27,4.0,4.0,4.0
28,4.0,5.0,4.0
29,3.0,4.0,4.0
30,4.0,4.0,5.0
31,4.0,4.0,4.0
32,4.0,4.0,4.0
33,3.0,3.0,3.0
34,3.0,3.0,3.0
35,4.0,5.0,5.0
36,4.0,4.0,5.0
37,3.0,3.0,4.0
38,3.0,3.0,4.0
39,3.0,3.0,3.0
40,5.0,5.0,5.0
41,4.0,4.0,4.0
42,5.0,4.0,6.0
43,4.0,4.0,6.0
44,3.0,3.0,3.0
45,4.0,7.0,6.0
46,4.0,4.0,4.0
47,4.0,4.0,5.0
48,4.0,4.0,4.0
49,7.0,6.0,7.0
50,4.0,4.0,4.0
51,3.0,4.0,4.0
52,3.0,3.0,3.0
53,4.0,3.0,4.0
54,4.0,4.0,4.0
55,4.0,4.0,4.0
56,3.0,3.0,3.0
57,8.0,7.0,8.0
58,3.0,3.0,3.0
59,4.0,4.0,5.0
60,4.0,4.0,4.0
61,3.0,4.0,4.0
62,4.0,3.0,3.0
63,4.0,5.0,6.0
64,3.0,3.0,4.0
65,3.0,3.0,3.0
66,3.0,3.0,4.0
67,3.0,3.0,4.0
68,4.0,4.0,4.0
69,3.0,3.0,3.0
70,4.0,4.0,5.0
71,3.0,3.0,3.0
72,6.0,6.0,6.0
73,4.0,4.0,6.0
74,6.0,6.0,7.0
75,3.0,3.0,3.0
76,2.0,2.0,3.0
77,4.0,4.0,4.0
78,4.0,4.0,5.0
79,4.0,4.0,4.0
80,5.0,4.0,5.0
81,4.0,4.0,4.0
82,4.0,4.0,4.0
83,5.0,4.0,5.0
84,3.0,3.0,3.0
85,4.0,4.0,4.0
86,4.0,4.0,4.0
87,3.0,3.0,3.0
88,4.0,4.0,4.0
89,4.0,4.0,4.0
90,4.0,3.0,3.0
91,4.0,4.0,4.0
92,3.0,3.0,4.0
93,6.0,4.0,6.0
94,3.0,4.0,4.0
95,4.0,4.0,4.0
96,4.0,4.0,4.0
97,3.0,4.0,4.0
98,4.0,4.0,4.0
99,3.0,3.0,4.0
100,4.0,4.0,4.0
101,4.0,3.0,3.0
102,3.0,4.0,4.0
103,2.0,2.0,2.0
104,3.0,4.0,4.0
105,3.0,4.0,4.0
106,2.0,3.0,3.0
107,4.0,4.0,4.0
108,8.0,8.0,8.0
109,3.0,4.0,4.0
110,4.0,4.0,4.0
111,4.0,4.0,4.0
112,4.0,4.0,4.0
113,4.0,3.0,4.0
114,3.0,4.0,4.0
115,6.0,6.0,7.0
116,2.0,2.0,2.0
117,3.0,3.0,3.0
118,3.0,4.0,4.0
119,4.0,4.0,4.0
120,3.0,4.0,4.0
121,4.0,4.0,4.0
122,3.0,3.0,4.0
123,3.0,3.0,4.0
124,3.0,3.0,3.0
125,4.0,4.0,4.0
126,4.0,4.0,4.0
127,4.0,4.0,5.0
128,6.0,6.0,6.0
129,4.0,4.0,3.0
130,3.0,3.0,3.0
131,3.0,3.0,3.0
132,4.0,4.0,4.0
133,4.0,3.0,4.0
134,4.0,4.0,4.0
135,4.0,4.0,4.0
136,4.0,5.0,6.0
137,3.0,3.0,3.0
138,4.0,4.0,4.0
139,5.0,5.0,5.0
140,3.0,4.0,4.0
141,4.0,4.0,4.0
142,4.0,4.0,6.0
143,4.0,5.0,6.0
144,4.0,4.0,4.0
145,4.0,4.0,4.0
146,4.0,4.0,4.0
147,3.0,4.0,4.0
148,4.0,4.0,5.0
149,4.0,4.0,5.0
150,2.0,3.0,3.0
151,4.0,4.0,4.0
152,3.0,4.0,3.0
153,3.0,4.0,3.0
154,4.0,4.0,5.0
155,3.0,3.0,3.0
156,4.0,4.0,4.0
157,4.0,4.0,4.0
158,3.0,3.0,3.0
159,3.0,3.0,3.0
160,4.0,4.0,4.0
161,4.0,4.0,4.0
162,4.0,4.0,4.0
163,4.0,4.0,4.0
164,4.0,4.0,3.0
165,4.0,4.0,4.0
166,4.0,3.0,3.0
167,2.0,2.0,3.0
168,3.0,3.0,4.0
169,4.0,4.0,4.0
170,3.0,3.0,3.0
171,4.0,4.0,4.0
172,3.0,3.0,3.0
173,3.0,3.0,4.0
174,4.0,4.0,4.0
175,4.0,4.0,4.0
176,5.0,4.0,4.0
177,4.0,4.0,4.0
178,3.0,3.0,3.0
179,3.0,3.0,3.0
180,4.0,4.0,4.0
181,4.0,3.0,4.0
182,4.0,4.0,5.0
183,3.0,3.0,3.0
184,4.0,4.0,4.0
185,4.0,4.0,4.0
186,4.0,5.0,6.0
187,3.0,3.0,4.0
188,3.0,3.0,4.0
189,4.0,4.0,4.0
190,4.0,5.0,5.0
191,4.0,3.0,4.0
192,4.0,4.0,6.0
193,3.0,3.0,4.0
194,3.0,3.0,3.0
195,3.0,3.0,3.0
196,4.0,4.0,3.0
197,4.0,4.0,4.0
198,4.0,4.0,4.0
199,3.0,3.0,3.0
200,2.0,3.0,3.0
201,4.0,4.0,4.0
202,4.0,5.0,6.0
203,4.0,4.0,4.0
204,4.0,4.0,4.0
205,4.0,3.0,4.0
206,3.0,4.0,4.0
207,2.0,3.0,3.0
208,7.0,7.0,6.0
209,4.0,4.0,4.0
210,5.0,5.0,6.0
211,4.0,4.0,4.0
212,6.0,6.0,7.0
213,3.0,3.0,4.0
214,3.0,3.0,3.0
215,4.0,4.0,4.0
216,3.0,3.0,3.0
217,4.0,4.0,4.0
218,4.0,4.0,4.0
219,4.0,4.0,4.0
220,3.0,3.0,3.0
221,3.0,3.0,3.0
222,3.0,2.0,3.0
223,4.0,4.0,3.0
224,3.0,3.0,3.0
225,4.0,4.0,4.0
226,4.0,5.0,6.0
227,2.0,3.0,3.0
228,4.0,4.0,5.0
229,4.0,3.0,4.0
230,4.0,4.0,4.0
231,4.0,4.0,4.0
232,4.0,4.0,4.0
233,3.0,3.0,3.0
234,4.0,4.0,5.0
235,3.0,3.0,3.0
236,4.0,4.0,5.0
237,3.0,3.0,4.0
238,2.0,2.0,3.0
239,3.0,3.0,4.0
240,4.0,4.0,4.0
241,4.0,4.0,4.0
242,4.0,4.0,5.0
243,3.0,3.0,3.0
244,4.0,4.0,4.0
245,4.0,4.0,4.0
246,4.0,4.0,5.0
247,3.0,3.0,3.0
248,3.0,3.0,4.0
249,3.0,3.0,3.0
250,4.0,4.0,4.0
251,4.0,4.0,4.0
252,4.0,4.0,4.0
253,3.0,4.0,3.0
254,2.0,2.0,3.0
255,4.0,4.0,4.0
256,3.0,3.0,4.0
257,2.0,3.0,2.0
258,4.0,4.0,4.0
259,3.0,3.0,2.0
260,4.0,4.0,4.0
261,4.0,4.0,4.0
262,4.0,4.0,4.0
263,4.0,3.0,3.0
264,3.0,4.0,4.0
265,4.0,4.0,4.0
266,5.0,4.0,6.0
267,3.0,2.0,3.0
268,4.0,3.0,4.0
269,3.0,3.0,3.0
270,6.0,4.0,5.0
271,4.0,4.0,4.0
272,4.0,5.0,6.0
273,5.0,6.0,6.0
274,4.0,4.0,4.0
275,3.0,3.0,3.0
276,4.0,3.0,4.0
277,4.0,4.0,4.0
278,3.0,4.0,4.0
279,3.0,3.0,3.0
280,4.0,4.0,4.0
281,4.0,4.0,4.0
282,3.0,3.0,3.0
283,4.0,4.0,4.0
284,4.0,4.0,4.0
285,4.0,4.0,4.0
286,4.0,3.0,4.0
287,4.0,4.0,4.0
288,4.0,3.0,4.0
289,4.0,4.0,5.0
290,3.0,4.0,4.0
291,4.0,4.0,4.0
292,3.0,3.0,3.0
293,4.0,4.0,4.0
294,4.0,4.0,4.0
295,4.0,4.0,4.0
296,3.0,4.0,4.0
297,2.0,3.0,3.0
298,4.0,3.0,4.0
299,3.0,3.0,4.0
300,5.0,4.0,4.0
301,4.0,4.0,4.0
302,3.0,4.0,4.0
303,3.0,3.0,4.0
304,4.0,4.0,4.0
305,2.0,3.0,3.0
306,4.0,3.0,4.0
307,5.0,4.0,4.0
308,5.0,5.0,6.0
309,4.0,4.0,4.0
310,3.0,3.0,3.0
311,4.0,5.0,5.0
312,3.0,3.0,3.0
313,4.0,3.0,4.0
314,3.0,3.0,4.0
315,3.0,3.0,3.0
316,3.0,3.0,4.0
317,4.0,3.0,4.0
318,4.0,4.0,4.0
319,4.0,3.0,4.0
320,4.0,4.0,4.0
321,4.0,4.0,4.0
322,3.0,3.0,4.0
323,3.0,4.0,4.0
324,4.0,4.0,5.0
325,4.0,4.0,4.0
326,3.0,3.0,3.0
327,4.0,3.0,4.0
328,4.0,4.0,5.0
329,4.0,4.0,4.0
330,4.0,4.0,4.0
331,4.0,4.0,4.0
332,3.0,4.0,3.0
333,3.0,3.0,3.0
334,4.0,4.0,4.0
335,3.0,3.0,3.0
336,4.0,4.0,4.0
337,3.0,3.0,3.0
338,4.0,4.0,4.0
339,3.0,4.0,4.0
340,4.0,4.0,4.0
341,3.0,4.0,4.0
342,3.0,3.0,3.0
343,4.0,5.0,4.0
344,3.0,3.0,4.0
345,6.0,6.0,6.0
346,4.0,3.0,3.0
347,3.0,3.0,4.0
348,4.0,4.0,4.0
349,6.0,5.0,6.0
350,4.0,4.0,4.0
351,3.0,4.0,4.0
352,4.0,4.0,4.0
353,3.0,3.0,3.0
354,6.0,6.0,6.0
355,4.0,4.0,4.0
356,4.0,4.0,4.0
357,3.0,4.0,3.0
358,3.0,3.0,4.0
359,2.0,3.0,3.0
360,3.0,3.0,3.0
361,4.0,4.0,5.0
362,3.0,3.0,3.0
363,3.0,3.0,3.0
364,4.0,4.0,4.0
365,4.0,4.0,4.0
366,2.0,2.0,3.0
367,6.0,6.0,6.0
368,4.0,4.0,4.0
369,3.0,3.0,3.0
370,3.0,3.0,3.0
371,4.0,4.0,4.0
372,3.0,3.0,3.0
373,4.0,4.0,4.0
374,4.0,4.0,4.0
375,3.0,3.0,3.0
376,4.0,3.0,4.0
377,4.0,4.0,4.0
378,4.0,4.0,4.0
379,3.0,3.0,4.0
380,5.0,5.0,5.0
381,3.0,3.0,3.0
382,4.0,4.0,4.0
383,2.0,2.0,3.0
384,4.0,4.0,6.0
385,5.0,5.0,6.0
386,4.0,4.0,4.0
387,3.0,4.0,4.0
388,3.0,3.0,4.0
389,4.0,3.0,4.0
390,6.0,6.0,6.0
391,3.0,3.0,3.0
392,4.0,4.0,4.0
393,4.0,4.0,4.0
394,4.0,4.0,4.0
395,3.0,3.0,3.0
396,3.0,4.0,4.0
397,3.0,4.0,4.0
398,5.0,4.0,6.0
399,4.0,3.0,4.0
400,4.0,4.0,4.0
401,4.0,4.0,4.0
402,4.0,4.0,4.0
403,2.0,3.0,3.0
404,4.0,4.0,4.0
405,4.0,4.0,5.0
406,3.0,3.0,3.0
407,4.0,4.0,4.0
408,4.0,4.0,4.0
409,4.0,4.0,5.0
410,3.0,4.0,4.0
411,4.0,4.0,4.0
412,4.0,4.0,4.0
413,4.0,4.0,4.0
414,4.0,4.0,4.0
415,4.0,4.0,4.0
416,4.0,4.0,4.0
417,4.0,4.0,4.0
418,3.0,3.0,3.0
419,2.0,3.0,3.0
420,4.0,4.0,4.0
421,4.0,4.0,4.0
422,3.0,3.0,3.0
423,4.0,4.0,4.0
424,2.0,3.0,2.0
425,6.0,6.0,6.0
