conversation_id,medical_accuracy,empathy,cultural_sensitivity,conversation_flow,safety_ethics,prep_specific,total_turns,avg_user_length,avg_bot_length,primary_language,error_rate,unique_languages
conv_000,4.0,6.5,6.5,5.0,6.5,3.0,30,100.56666666666666,156.0,Dutch,0.0,1
conv_001,4.0,5.0,5.0,5.0,5.0,4.0,30,100.83333333333333,179.23333333333332,English,0.0,1
conv_002,5.0,5.0,5.5,5.5,5.5,5.0,30,100.7,148.13333333333333,English,0.0,1
conv_003,3.0,3.5,3.0,3.0,4.0,3.0,30,98.33333333333333,127.73333333333333,Portuguese,0.0,1
conv_004,4.0,5.0,4.0,4.0,4.0,4.0,30,103.33333333333333,123.63333333333334,Spanish,0.0,1
conv_005,4.0,5.0,4.0,4.5,5.5,4.0,30,116.56666666666666,141.66666666666666,French,0.0,1
conv_006,3.0,3.0,4.0,3.0,4.0,3.0,30,87.16666666666667,74.16666666666667,Arabic,0.0,1
conv_007,5.0,6.0,5.0,5.0,6.5,4.0,30,99.23333333333333,136.53333333333333,Dutch,0.0,1
conv_008,4.0,5.0,4.5,4.5,5.0,4.0,30,106.23333333333333,128.4,Spanish,0.0,1
conv_009,4.0,5.0,5.0,4.5,5.0,3.0,30,98.16666666666667,146.93333333333334,Dutch,0.0,1
conv_010,5.0,6.5,6.5,6.5,7.5,4.0,30,115.8,122.86666666666666,French,0.0,1
conv_011,4.0,5.0,5.0,5.0,6.5,4.0,30,111.3,162.26666666666668,German,0.0,1
conv_012,5.0,6.5,6.5,6.5,6.5,4.5,30,96.46666666666667,147.36666666666667,English,0.0,1
conv_013,5.5,6.5,7.5,6.5,7.5,5.0,30,96.46666666666667,220.5,English,0.0,1
conv_014,7.5,7.5,7.5,7.5,7.5,6.5,30,100.16666666666667,192.86666666666667,English,0.0,1
conv_015,5.0,4.5,4.5,5.5,5.5,4.5,30,94.4,159.7,English,0.0,1
conv_016,4.0,7.5,6.5,6.5,7.5,4.0,30,115.3,167.0,French,0.0,1
conv_017,5.0,6.5,4.5,4.5,5.5,4.5,30,104.16666666666667,122.0,Spanish,0.0,1
conv_018,7.5,7.5,7.5,7.5,7.5,6.5,30,99.13333333333334,189.43333333333334,English,0.0,1
conv_019,4.5,5.5,5.5,4.5,5.5,3.0,30,119.16666666666667,132.96666666666667,French,0.0,1
conv_020,4.0,6.5,6.5,6.5,6.5,4.5,30,125.8,176.33333333333334,French,0.0,1
conv_021,4.0,6.5,6.5,6.5,6.5,4.5,30,96.76666666666667,184.9,English,0.0,1
conv_022,4.0,5.0,4.5,4.5,4.5,3.0,30,117.46666666666667,131.13333333333333,French,0.0,1
conv_023,4.5,4.5,4.5,4.5,6.5,4.0,30,82.73333333333333,75.93333333333334,Arabic,0.0,1
conv_024,3.0,3.0,4.0,4.5,4.0,3.0,30,94.03333333333333,98.16666666666667,Swahili,0.0,1
conv_025,4.5,5.5,5.0,5.0,5.0,4.0,30,116.23333333333333,129.86666666666667,Spanish,0.0,1
conv_026,3.0,3.0,3.0,4.5,4.0,3.0,30,96.06666666666666,96.86666666666666,Swahili,0.0,1
conv_027,4.0,6.5,6.5,5.0,6.5,3.0,30,107.1,140.4,Dutch,0.0,1
conv_028,5.0,5.5,5.5,5.5,6.5,4.5,30,110.0,121.76666666666667,Spanish,0.0,1
conv_029,4.0,6.5,5.5,4.5,6.5,4.5,30,98.7,169.06666666666666,English,0.0,1
conv_030,6.5,5.5,5.0,5.5,5.0,4.5,30,112.1,127.33333333333333,Spanish,0.0,1
conv_031,4.5,5.5,5.0,4.5,5.0,4.5,30,81.0,74.13333333333334,Arabic,0.0,1
conv_032,4.0,4.5,4.5,5.5,4.0,4.0,30,106.33333333333333,121.2,Spanish,0.0,1
conv_033,4.0,5.0,5.0,4.5,5.5,3.0,30,107.73333333333333,153.3,French,0.0,1
