conversation_id,user_rating,self_rating,judge_rating,total_turns,avg_user_length,avg_bot_length,primary_language,error_rate,error_count
conv_000,4.0,4.5,4.5,30,100.57,156.0,Dutch,0.0,0
conv_001,3.0,3.0,3.5,30,100.83,179.23,English,0.0,0
conv_002,3.0,3.5,3.5,30,100.7,148.13,English,0.0,0
conv_003,2.0,2.0,2.5,30,98.33,127.73,Portuguese,0.0,0
conv_004,3.0,3.0,3.5,30,103.33,123.63,Spanish,0.0,0
conv_005,3.0,3.5,4.5,30,116.57,141.67,French,0.0,0
conv_006,2.0,2.0,2.0,30,87.17,74.17,Arabic,0.0,0
conv_007,3.0,4.5,3.5,30,99.23,136.53,Dutch,0.0,0
conv_008,3.0,3.0,3.5,30,106.23,128.4,Spanish,0.0,0
conv_009,3.0,3.5,4.5,30,98.17,146.93,Dutch,0.0,0
conv_010,4.0,4.5,4.5,30,115.8,122.87,French,0.0,0
conv_011,4.0,4.5,4.5,30,111.3,162.27,German,0.0,0
conv_012,4.0,4.5,4.5,30,96.47,147.37,English,0.0,0
conv_013,3.0,4.5,4.5,30,96.47,220.5,English,0.0,0
conv_014,6.5,6.5,6.5,30,100.17,192.87,English,0.0,0
conv_015,3.0,4.5,4.5,30,94.4,159.7,English,0.0,0
conv_016,4.0,5.0,4.5,30,115.3,167.0,French,0.0,0
conv_017,4.0,4.0,3.5,30,104.17,122.0,Spanish,0.0,0
conv_018,6.5,6.5,6.5,30,99.13,189.43,English,0.0,0
conv_019,3.5,3.5,3.5,30,119.17,132.97,French,0.0,0
conv_020,3.0,4.5,4.5,30,125.8,176.33,French,0.0,0
conv_021,4.0,5.0,4.5,30,96.77,184.9,English,0.0,0
conv_022,3.5,3.5,3.5,30,117.47,131.13,French,0.0,0
conv_023,3.0,4.5,3.5,30,82.73,75.93,Arabic,0.0,0
conv_024,2.0,3.0,2.0,30,94.03,98.17,Swahili,0.0,0
conv_025,3.0,4.5,3.5,30,116.23,129.87,Spanish,0.0,0
