Conversation_Id,User_Rating,Observer_Rating,Self_Rating
0,10.0,5.0,5.0
1,10.0,8.0,5.0
2,8.0,8.0,5.0
3,10.0,8.0,7.0
4,8.0,8.0,7.0
5,10.0,8.0,5.0
6,10.0,8.0,8.0
7,10.0,8.0,5.0
8,10.0,8.0,5.0
9,10.0,8.0,5.0
10,5.0,8.0,5.0
11,10.0,8.0,5.0
12,10.0,8.0,5.0
13,10.0,5.0,5.0
14,10.0,5.0,5.0
15,10.0,8.0,5.0
16,10.0,8.0,5.0
17,8.0,8.0,5.0
18,10.0,8.0,5.0
19,10.0,8.0,5.0
20,10.0,5.0,5.0
21,10.0,5.0,5.0
22,8.0,8.0,8.0
23,5.0,8.0,5.0
24,10.0,8.0,5.0
25,5.0,8.0,8.0
26,10.0,5.0,5.0
27,10.0,8.0,5.0
28,10.0,8.0,5.0
29,10.0,5.0,5.0
30,8.0,8.0,5.0
31,8.0,8.0,5.0
32,8.0,8.0,5.0
33,10.0,8.0,5.0
34,10.0,8.0,5.0
35,10.0,8.0,8.0
36,10.0,8.0,5.0
37,10.0,8.0,5.0
38,10.0,8.0,8.0
39,10.0,8.0,7.0
40,10.0,6.0,5.0
41,10.0,8.0,5.0
42,10.0,5.0,5.0
43,10.0,8.0,5.0
44,10.0,8.0,5.0
45,10.0,5.0,5.0
46,10.0,8.0,5.0
47,10.0,5.0,5.0
48,10.0,8.0,5.0
49,10.0,5.0,5.0
50,10.0,8.0,5.0
51,10.0,8.0,5.0
52,10.0,5.0,5.0
53,8.0,8.0,7.0
54,10.0,8.0,5.0
55,8.0,8.0,5.0
56,8.0,8.0,5.0
57,10.0,8.0,5.0
58,10.0,8.0,5.0
59,10.0,8.0,5.0
60,8.0,8.0,5.0
61,10.0,8.0,5.0
62,10.0,8.0,8.0
63,5.0,8.0,8.0
64,8.0,8.0,5.0
65,10.0,8.0,5.0
66,10.0,5.0,5.0
67,10.0,5.0,5.0
68,10.0,8.0,5.0
69,8.0,8.0,5.0
70,10.0,8.0,5.0
71,10.0,5.0,5.0
72,10.0,5.0,8.0
73,10.0,8.0,5.0
74,10.0,8.0,5.0
75,10.0,8.0,5.0
76,10.0,8.0,5.0
77,8.0,8.0,5.0
78,10.0,8.0,8.0
79,10.0,8.0,5.0
80,10.0,8.0,5.0
81,8.0,8.0,8.0
82,5.0,5.0,5.0
83,8.0,8.0,5.0
84,10.0,8.0,5.0
85,8.0,8.0,5.0
86,8.0,8.0,5.0
87,10.0,8.0,5.0
88,10.0,8.0,5.0
89,10.0,8.0,8.0
90,5.0,8.0,8.0
91,10.0,8.0,5.0
92,10.0,8.0,5.0
93,5.0,8.0,5.0
94,10.0,8.0,5.0
95,10.0,5.0,5.0
96,10.0,8.0,5.0
97,8.0,8.0,8.0
98,10.0,8.0,5.0
99,8.0,8.0,5.0
100,10.0,8.0,5.0
101,10.0,8.0,5.0
102,10.0,8.0,5.0
103,10.0,8.0,5.0
104,10.0,8.0,5.0
105,10.0,8.0,5.0
106,10.0,8.0,5.0
107,8.0,8.0,5.0
108,10.0,5.0,5.0
109,10.0,8.0,8.0
110,10.0,8.0,5.0
111,10.0,8.0,5.0
112,5.0,8.0,5.0
113,10.0,8.0,5.0
114,10.0,8.0,5.0
115,10.0,8.0,5.0
116,10.0,5.0,5.0
117,10.0,5.0,5.0
118,10.0,5.0,5.0
119,10.0,8.0,7.0
120,10.0,8.0,5.0
121,10.0,6.0,5.0
122,8.0,8.0,5.0
123,8.0,8.0,6.0
124,10.0,8.0,5.0
125,10.0,8.0,8.0
126,8.0,8.0,8.0
127,10.0,5.0,5.0
128,10.0,8.0,8.0
129,8.0,8.0,8.0
130,10.0,8.0,8.0
131,8.0,8.0,8.0
132,10.0,8.0,8.0
133,10.0,8.0,5.0
134,10.0,8.0,5.0
135,5.0,5.0,5.0
136,10.0,8.0,8.0
137,8.0,8.0,5.0
138,8.0,8.0,5.0
139,10.0,8.0,5.0
140,10.0,8.0,5.0
141,10.0,8.0,8.0
142,10.0,8.0,5.0
143,10.0,8.0,7.0
144,10.0,8.0,5.0
145,8.0,8.0,5.0
146,8.0,5.0,5.0
147,8.0,8.0,5.0
148,10.0,5.0,5.0
149,8.0,8.0,5.0
150,10.0,8.0,5.0
151,8.0,8.0,5.0
152,10.0,5.0,5.0
153,8.0,8.0,5.0
154,8.0,8.0,5.0
155,10.0,8.0,8.0
156,10.0,8.0,5.0
157,8.0,8.0,8.0
158,10.0,8.0,5.0
159,8.0,8.0,5.0
160,10.0,5.0,8.0
161,8.0,8.0,5.0
162,10.0,8.0,5.0
163,10.0,8.0,7.0
164,8.0,8.0,5.0
165,10.0,8.0,5.0
166,8.0,8.0,5.0
167,10.0,8.0,5.0
168,10.0,8.0,5.0
169,10.0,8.0,5.0
170,10.0,8.0,5.0
171,10.0,8.0,8.0
172,8.0,8.0,5.0
173,10.0,8.0,5.0
174,5.0,8.0,5.0
175,10.0,8.0,5.0
176,10.0,8.0,5.0
177,10.0,8.0,5.0
178,8.0,8.0,5.0
179,10.0,8.0,8.0
180,8.0,8.0,5.0
181,10.0,5.0,5.0
182,8.0,8.0,8.0
183,10.0,8.0,5.0
184,8.0,8.0,5.0
185,10.0,8.0,5.0
186,10.0,8.0,5.0
187,10.0,8.0,5.0
188,8.0,8.0,8.0
189,10.0,8.0,5.0
190,10.0,8.0,5.0
191,10.0,8.0,5.0
192,5.0,8.0,5.0
193,8.0,8.0,5.0
194,10.0,8.0,8.0
195,8.0,8.0,5.0
196,8.0,8.0,5.0
197,10.0,5.0,8.0
198,10.0,8.0,5.0
199,10.0,8.0,5.0
200,10.0,8.0,5.0
201,10.0,8.0,5.0
202,10.0,8.0,5.0
203,8.0,8.0,5.0
204,5.0,8.0,5.0
205,10.0,8.0,5.0
206,10.0,5.0,5.0
207,8.0,8.0,5.0
208,10.0,5.0,5.0
209,10.0,8.0,5.0
210,10.0,8.0,8.0
211,10.0,8.0,5.0
212,10.0,8.0,5.0
213,10.0,5.0,5.0
214,8.0,8.0,5.0
215,10.0,5.0,5.0
216,10.0,8.0,5.0
217,10.0,8.0,5.0
218,8.0,8.0,5.0
219,10.0,8.0,5.0
220,10.0,8.0,5.0
221,8.0,8.0,5.0
222,5.0,8.0,5.0
223,8.0,8.0,5.0
224,8.0,8.0,7.0
225,10.0,8.0,5.0
226,10.0,8.0,5.0
227,8.0,8.0,5.0
228,5.0,8.0,5.0
229,8.0,8.0,5.0
230,10.0,6.0,5.0
231,10.0,8.0,5.0
232,10.0,8.0,5.0
233,10.0,5.0,5.0
234,10.0,8.0,5.0
235,10.0,8.0,7.0
236,10.0,8.0,5.0
237,8.0,8.0,8.0
238,10.0,8.0,5.0
239,10.0,8.0,8.0
240,10.0,8.0,5.0
241,10.0,8.0,5.0
242,5.0,6.0,5.0
243,10.0,8.0,5.0
