Conversation_Id,User_Rating,Observer_Rating,Self_Rating
0,6.0,6.0,6.0
1,8.0,8.0,8.0
2,8.0,8.0,8.0
3,9.0,8.0,8.0
4,9.0,8.0,8.0
5,4.0,5.0,4.0
6,7.0,6.0,7.0
7,6.0,6.0,6.0
8,8.0,7.0,6.0
9,6.0,7.0,7.0
10,6.0,6.0,7.0
11,7.0,6.0,6.0
12,8.0,8.0,8.0
13,8.0,8.0,8.0
14,9.0,8.0,8.0
15,9.0,8.0,8.0
16,6.0,7.0,7.0
17,4.0,4.0,4.0
18,8.0,8.0,8.0
19,8.0,7.0,7.0
20,4.0,5.0,6.0
21,9.0,8.0,8.0
22,6.0,4.0,5.0
23,8.0,8.0,8.0
24,5.0,5.0,5.0
25,8.0,8.0,8.0
26,8.0,7.0,7.0
27,4.0,4.0,5.0
28,7.0,6.0,7.0
29,9.0,8.0,8.0
30,8.0,6.0,8.0
31,6.0,6.0,6.0
32,7.0,6.0,7.0
33,8.0,7.0,6.0
34,8.0,8.0,8.0
35,7.0,8.0,8.0
36,4.0,4.0,6.0
37,6.0,6.0,6.0
38,9.0,8.0,8.0
39,6.0,6.0,6.0
40,8.0,8.0,8.0
41,6.0,6.0,6.0
42,9.0,8.0,8.0
43,8.0,7.0,7.0
44,8.0,7.0,7.0
45,9.0,9.0,8.0
46,9.0,8.0,8.0
47,9.0,9.0,8.0
48,9.0,8.0,8.0
49,8.0,8.0,8.0
50,8.0,7.0,8.0
51,8.0,6.0,7.0
52,8.0,8.0,8.0
53,9.0,9.0,8.0
54,9.0,8.0,8.0
55,9.0,8.0,8.0
56,7.0,7.0,7.0
57,8.0,8.0,8.0
58,9.0,8.0,8.0
59,7.0,7.0,7.0
60,8.0,8.0,7.0
61,9.0,8.0,8.0
62,7.0,7.0,7.0
63,9.0,9.0,8.0
64,4.0,6.0,4.0
65,4.0,4.0,4.0
66,8.0,7.0,7.0
67,6.0,6.0,6.0
68,7.0,7.0,7.0
69,9.0,8.0,8.0
70,9.0,9.0,8.0
71,4.0,4.0,4.0
72,9.0,8.0,8.0
73,9.0,8.0,8.0
74,8.0,8.0,8.0
75,4.0,4.0,4.0
76,5.0,4.0,5.0
77,9.0,8.0,8.0
78,9.0,8.0,8.0
79,9.0,9.0,8.0
80,6.0,4.0,7.0
81,6.0,7.0,6.0
82,8.0,8.0,8.0
83,8.0,8.0,8.0
84,6.0,5.0,6.0
85,8.0,6.0,7.0
86,9.0,8.0,8.0
87,5.0,4.0,6.0
88,5.0,4.0,6.0
89,8.0,6.0,6.0
90,9.0,8.0,8.0
91,4.0,4.0,4.0
92,6.0,6.0,7.0
93,8.0,8.0,8.0
94,7.0,6.0,7.0
95,8.0,8.0,8.0
96,4.0,4.0,6.0
97,9.0,9.0,8.0
98,9.0,8.0,8.0
99,8.0,8.0,8.0
100,8.0,8.0,8.0
101,8.0,7.0,7.0
102,8.0,7.0,7.0
103,4.0,3.0,4.0
104,8.0,8.0,6.0
105,8.0,8.0,8.0
106,6.0,4.0,5.0
107,8.0,7.0,7.0
108,9.0,9.0,8.0
109,6.0,6.0,6.0
110,8.0,8.0,8.0
111,5.0,4.0,6.0
