Conversation_Id,Clinical Accuracy & Safety_Rating,Clarity & Understandability_Rating,Actionability_Rating,Empathy & Supportiveness_Rating,Adaptability & Personalization_Rating,Trustworthiness & Ethical Communication_Rating
0,8.0,8.0,8.0,8.0,8.0,8.0
1,5.0,5.0,8.0,5.0,8.0,8.0
2,5.0,5.0,7.0,8.0,5.0,5.0
3,8.0,8.0,8.0,8.0,8.0,8.0
4,8.0,8.0,8.0,8.0,8.0,8.0
5,8.0,8.0,8.0,8.0,8.0,8.0
6,8.0,8.0,8.0,8.0,8.0,8.0
7,8.0,8.0,8.0,8.0,8.0,8.0
8,8.0,8.0,8.0,8.0,8.0,8.0
9,8.0,8.0,8.0,8.0,8.0,8.0
10,8.0,8.0,8.0,8.0,8.0,8.0
11,8.0,8.0,8.0,8.0,8.0,8.0
12,8.0,8.0,5.0,8.0,8.0,8.0
13,5.0,8.0,8.0,8.0,5.0,5.0
14,8.0,5.0,8.0,8.0,8.0,8.0
15,5.0,5.0,8.0,8.0,8.0,8.0
16,8.0,8.0,8.0,8.0,8.0,8.0
17,8.0,8.0,8.0,8.0,8.0,8.0
18,5.0,5.0,5.0,5.0,8.0,5.0
19,8.0,8.0,8.0,8.0,8.0,8.0
20,8.0,8.0,8.0,8.0,8.0,8.0
21,5.0,5.0,5.0,5.0,8.0,10.0
22,8.0,8.0,8.0,8.0,8.0,8.0
23,8.0,8.0,8.0,8.0,8.0,8.0
24,8.0,8.0,8.0,8.0,8.0,8.0
25,8.0,8.0,8.0,8.0,8.0,8.0
26,8.0,8.0,8.0,8.0,8.0,8.0
27,8.0,8.0,8.0,8.0,8.0,8.0
28,8.0,8.0,8.0,8.0,8.0,8.0
29,5.0,5.0,8.0,8.0,8.0,8.0
30,8.0,8.0,8.0,8.0,8.0,8.0
31,8.0,8.0,8.0,8.0,8.0,8.0
32,8.0,8.0,8.0,8.0,8.0,8.0
33,8.0,8.0,8.0,8.0,8.0,8.0
34,8.0,8.0,8.0,8.0,8.0,8.0
35,5.0,5.0,8.0,8.0,8.0,5.0
36,8.0,8.0,8.0,8.0,8.0,8.0
37,8.0,8.0,8.0,8.0,8.0,8.0
38,8.0,8.0,8.0,8.0,8.0,8.0
39,8.0,8.0,8.0,8.0,8.0,8.0
40,8.0,8.0,8.0,8.0,8.0,5.0
41,8.0,8.0,8.0,8.0,8.0,8.0
42,5.0,5.0,8.0,8.0,8.0,10.0
43,8.0,8.0,8.0,8.0,8.0,8.0
44,5.0,8.0,8.0,8.0,8.0,8.0
