Conversation_Id,User_Rating,Observer_Rating,Self_Rating
0,7.0,7.0,7.0
1,7.0,7.0,7.0
2,7.0,8.0,8.0
3,6.0,4.0,7.0
4,7.0,7.0,7.0
5,7.0,7.0,7.0
6,5.0,4.0,7.0
7,7.0,6.0,7.0
8,6.0,7.0,7.0
9,7.0,8.0,8.0
10,5.0,6.0,7.0
11,7.0,7.0,7.0
12,7.0,7.0,7.0
13,7.0,8.0,7.0
14,7.0,8.0,8.0
15,7.0,7.0,7.0
16,7.0,7.0,7.0
17,7.0,7.0,7.0
18,7.0,8.0,7.0
19,6.0,7.0,7.0
20,7.0,7.0,7.0
21,7.0,7.0,7.0
22,6.0,6.0,7.0
23,7.0,7.0,7.0
24,7.0,7.0,7.0
25,7.0,7.0,7.0
26,7.0,7.0,8.0
27,4.0,6.0,7.0
28,7.0,8.0,7.0
29,7.0,7.0,8.0
30,7.0,7.0,7.0
31,6.0,4.0,7.0
32,7.0,6.0,7.0
33,7.0,6.0,7.0
34,7.0,6.0,7.0
35,7.0,8.0,7.0
36,7.0,7.0,7.0
37,6.0,4.0,7.0
38,6.0,7.0,7.0
39,6.0,6.0,7.0
40,7.0,8.0,8.0
41,7.0,6.0,7.0
42,7.0,8.0,7.0
43,7.0,7.0,7.0
44,7.0,7.0,7.0
45,7.0,8.0,8.0
46,7.0,7.0,8.0
47,7.0,7.0,7.0
48,7.0,7.0,7.0
49,8.0,8.0,8.0
50,7.0,7.0,8.0
51,7.0,7.0,7.0
52,7.0,7.0,7.0
53,7.0,7.0,7.0
54,8.0,7.0,8.0
55,6.0,6.0,7.0
56,6.0,6.0,6.0
57,7.0,8.0,8.0
58,6.0,4.0,7.0
59,7.0,7.0,7.0
60,7.0,7.0,7.0
61,7.0,8.0,8.0
62,7.0,4.0,7.0
63,8.0,8.0,7.0
64,7.0,7.0,8.0
65,8.0,8.0,8.0
66,7.0,6.0,7.0
67,8.0,8.0,8.0
68,7.0,7.0,7.0
69,7.0,6.0,7.0
70,8.0,9.0,8.0
71,7.0,7.0,8.0
72,8.0,8.0,8.0
73,7.0,8.0,8.0
74,7.0,8.0,8.0
75,7.0,7.0,7.0
76,8.0,8.0,8.0
77,6.0,7.0,7.0
78,7.0,7.0,7.0
79,7.0,8.0,8.0
80,7.0,7.0,7.0
81,7.0,7.0,7.0
82,7.0,8.0,7.0
83,7.0,7.0,8.0
84,7.0,7.0,8.0
85,7.0,7.0,7.0
86,7.0,6.0,7.0
87,7.0,7.0,7.0
88,7.0,6.0,7.0
89,7.0,8.0,8.0
90,6.0,4.0,7.0
91,7.0,6.0,7.0
92,7.0,7.0,7.0
93,7.0,8.0,8.0
94,7.0,7.0,7.0
95,7.0,8.0,8.0
96,7.0,8.0,8.0
97,7.0,7.0,7.0
98,7.0,7.0,7.0
99,6.0,7.0,7.0
100,7.0,7.0,7.0
101,7.0,7.0,7.0
102,6.0,4.0,7.0
103,7.0,6.0,7.0
104,7.0,7.0,7.0
105,7.0,7.0,7.0
106,7.0,8.0,7.0
107,7.0,6.0,7.0
108,8.0,8.0,8.0
109,7.0,7.0,7.0
110,7.0,7.0,7.0
111,6.0,6.0,7.0
112,7.0,7.0,7.0
113,6.0,6.0,7.0
114,7.0,7.0,7.0
115,7.0,8.0,7.0
116,6.0,6.0,7.0
117,8.0,8.0,8.0
118,8.0,8.0,8.0
119,7.0,6.0,7.0
120,6.0,4.0,7.0
121,7.0,8.0,8.0
122,7.0,7.0,7.0
123,7.0,7.0,7.0
124,6.0,6.0,7.0
125,7.0,7.0,7.0
126,7.0,7.0,7.0
127,8.0,8.0,8.0
128,7.0,8.0,8.0
129,7.0,7.0,7.0
130,6.0,7.0,7.0
131,2.0,4.0,7.0
132,7.0,7.0,7.0
133,7.0,6.0,7.0
134,7.0,7.0,7.0
135,7.0,8.0,8.0
136,7.0,8.0,7.0
137,6.0,6.0,7.0
138,7.0,7.0,8.0
139,7.0,8.0,8.0
140,7.0,7.0,7.0
141,6.0,6.0,7.0
142,7.0,7.0,7.0
143,7.0,7.0,8.0
144,7.0,7.0,7.0
145,7.0,7.0,7.0
146,6.0,6.0,7.0
147,7.0,7.0,7.0
148,7.0,7.0,7.0
149,7.0,8.0,7.0
150,6.0,6.0,7.0
151,7.0,7.0,7.0
152,7.0,8.0,8.0
153,7.0,7.0,7.0
154,8.0,8.0,8.0
155,4.0,4.0,7.0
156,7.0,7.0,7.0
157,7.0,7.0,7.0
158,6.0,4.0,7.0
159,6.0,4.0,7.0
160,5.0,6.0,7.0
161,7.0,7.0,7.0
162,7.0,8.0,8.0
163,7.0,7.0,7.0
164,7.0,7.0,7.0
165,7.0,7.0,7.0
166,7.0,7.0,7.0
167,7.0,6.0,7.0
168,7.0,7.0,7.0
169,7.0,7.0,7.0
170,7.0,7.0,8.0
171,6.0,4.0,7.0
172,7.0,7.0,7.0
173,7.0,7.0,7.0
174,7.0,7.0,7.0
175,7.0,6.0,7.0
176,7.0,7.0,7.0
177,7.0,7.0,7.0
178,7.0,7.0,7.0
179,4.0,6.0,7.0
180,7.0,7.0,7.0
181,7.0,7.0,7.0
182,7.0,8.0,7.0
183,7.0,7.0,7.0
184,7.0,7.0,7.0
185,7.0,7.0,7.0
186,8.0,9.0,8.0
187,7.0,7.0,7.0
188,7.0,7.0,7.0
189,7.0,8.0,7.0
190,8.0,8.0,8.0
191,6.0,7.0,7.0
192,7.0,8.0,7.0
193,6.0,7.0,6.0
194,8.0,8.0,8.0
195,6.0,7.0,7.0
196,6.0,7.0,7.0
197,7.0,7.0,7.0
198,8.0,9.0,7.0
199,4.0,7.0,6.0
200,7.0,8.0,8.0
201,8.0,9.0,9.0
202,7.0,7.0,8.0
203,8.0,8.0,8.0
204,7.0,8.0,7.0
205,7.0,8.0,7.0
206,7.0,8.0,7.0
207,6.0,7.0,6.0
208,8.0,8.0,8.0
209,7.0,7.0,6.0
210,8.0,8.0,8.0
211,8.0,8.0,8.0
212,8.0,8.0,8.0
213,7.0,9.0,8.0
214,7.0,7.0,7.0
215,7.0,8.0,8.0
216,7.0,8.0,7.0
217,7.0,8.0,7.0
218,7.0,7.0,7.0
219,7.0,7.0,7.0
220,6.0,7.0,7.0
221,7.0,8.0,7.0
222,3.0,7.0,6.0
223,7.0,7.0,7.0
224,7.0,7.0,7.0
225,6.0,7.0,7.0
226,8.0,8.0,8.0
227,4.0,7.0,6.0
228,8.0,8.0,8.0
229,7.0,8.0,7.0
230,7.0,8.0,8.0
231,7.0,7.0,7.0
232,8.0,8.0,8.0
233,8.0,9.0,9.0
234,8.0,8.0,8.0
235,7.0,8.0,8.0
236,7.0,8.0,8.0
237,8.0,8.0,7.0
238,8.0,9.0,8.0
239,7.0,8.0,7.0
240,7.0,7.0,7.0
241,7.0,8.0,7.0
242,8.0,9.0,8.0
243,7.0,8.0,7.0
244,6.0,7.0,7.0
245,7.0,7.0,7.0
246,8.0,8.0,7.0
247,7.0,7.0,7.0
248,7.0,7.0,7.0
249,8.0,9.0,8.0
250,7.0,8.0,7.0
251,8.0,8.0,8.0
252,7.0,7.0,7.0
253,7.0,8.0,7.0
254,7.0,9.0,8.0
255,8.0,8.0,8.0
256,7.0,7.0,7.0
257,7.0,7.0,8.0
258,7.0,8.0,8.0
259,7.0,7.0,7.0
260,7.0,8.0,8.0
261,7.0,8.0,7.0
262,7.0,7.0,7.0
263,8.0,9.0,8.0
264,7.0,7.0,7.0
265,7.0,8.0,7.0
266,8.0,8.0,8.0
267,6.0,7.0,6.0
268,7.0,7.0,7.0
269,8.0,9.0,9.0
270,7.0,8.0,7.0
271,7.0,8.0,7.0
272,7.0,8.0,7.0
273,8.0,8.0,8.0
274,8.0,8.0,7.0
275,6.0,7.0,6.0
276,7.0,7.0,7.0
277,7.0,7.0,6.0
278,7.0,8.0,7.0
279,6.0,6.0,6.0
280,7.0,7.0,8.0
281,8.0,8.0,8.0
282,7.0,7.0,7.0
283,8.0,8.0,8.0
284,4.0,7.0,7.0
285,8.0,8.0,7.0
286,7.0,7.0,7.0
287,7.0,7.0,7.0
288,7.0,7.0,7.0
289,8.0,8.0,8.0
290,4.0,4.0,6.0
291,8.0,8.0,8.0
292,7.0,8.0,7.0
293,7.0,7.0,6.0
294,8.0,8.0,8.0
295,7.0,8.0,8.0
296,8.0,8.0,8.0
297,7.0,8.0,8.0
298,7.0,7.0,7.0
299,7.0,8.0,7.0
300,8.0,8.0,8.0
301,7.0,7.0,7.0
302,7.0,8.0,7.0
303,7.0,8.0,8.0
304,7.0,8.0,8.0
305,7.0,8.0,7.0
306,6.0,7.0,6.0
307,8.0,8.0,8.0
308,8.0,8.0,8.0
309,8.0,8.0,8.0
310,7.0,7.0,7.0
311,8.0,8.0,8.0
312,6.0,7.0,6.0
313,7.0,7.0,6.0
314,7.0,7.0,7.0
315,8.0,8.0,8.0
316,7.0,8.0,8.0
317,7.0,8.0,8.0
318,7.0,7.0,6.0
319,7.0,8.0,7.0
320,8.0,8.0,7.0
321,8.0,8.0,8.0
322,7.0,7.0,6.0
323,7.0,8.0,7.0
324,7.0,7.0,7.0
325,7.0,7.0,7.0
326,7.0,7.0,8.0
327,4.0,6.0,6.0
328,8.0,8.0,8.0
329,7.0,7.0,7.0
330,7.0,8.0,8.0
331,7.0,7.0,7.0
332,7.0,7.0,7.0
333,6.0,7.0,7.0
334,7.0,7.0,7.0
335,7.0,7.0,7.0
336,7.0,8.0,7.0
337,7.0,7.0,7.0
338,7.0,7.0,7.0
339,7.0,8.0,7.0
340,7.0,7.0,7.0
341,7.0,7.0,7.0
342,6.0,7.0,7.0
343,8.0,8.0,8.0
344,7.0,8.0,7.0
345,8.0,9.0,8.0
346,4.0,4.0,6.0
347,7.0,7.0,7.0
348,7.0,7.0,7.0
349,8.0,9.0,8.0
350,7.0,8.0,7.0
351,7.0,7.0,7.0
352,7.0,7.0,7.0
353,7.0,8.0,8.0
354,8.0,8.0,8.0
355,7.0,8.0,8.0
356,7.0,8.0,7.0
357,6.0,7.0,7.0
358,6.0,7.0,7.0
359,7.0,8.0,8.0
360,7.0,7.0,7.0
361,7.0,7.0,7.0
362,8.0,8.0,8.0
363,7.0,7.0,7.0
364,7.0,8.0,8.0
365,7.0,7.0,7.0
366,8.0,8.0,8.0
367,8.0,8.0,8.0
368,7.0,8.0,8.0
369,8.0,8.0,8.0
370,4.0,4.0,6.0
371,8.0,8.0,7.0
372,7.0,7.0,7.0
373,7.0,8.0,7.0
374,7.0,7.0,7.0
375,7.0,7.0,7.0
376,7.0,7.0,7.0
377,7.0,8.0,8.0
378,7.0,8.0,8.0
379,7.0,7.0,6.0
380,7.0,9.0,8.0
381,6.0,7.0,6.0
382,8.0,8.0,8.0
383,7.0,7.0,7.0
384,7.0,7.0,7.0
385,8.0,9.0,8.0
386,7.0,8.0,7.0
387,7.0,8.0,7.0
388,7.0,4.0,7.0
389,7.0,7.0,7.0
390,8.0,8.0,8.0
391,7.0,7.0,7.0
392,7.0,7.0,7.0
393,7.0,7.0,7.0
394,7.0,8.0,7.0
395,7.0,7.0,7.0
396,7.0,8.0,7.0
397,7.0,7.0,7.0
398,8.0,8.0,8.0
399,6.0,6.0,6.0
400,7.0,8.0,8.0
401,8.0,8.0,8.0
402,7.0,8.0,8.0
403,8.0,8.0,8.0
404,7.0,8.0,8.0
405,8.0,8.0,8.0
406,7.0,7.0,7.0
407,7.0,7.0,7.0
408,7.0,8.0,7.0
409,8.0,8.0,7.0
410,7.0,8.0,7.0
411,7.0,7.0,7.0
412,7.0,8.0,7.0
413,7.0,7.0,8.0
414,7.0,8.0,8.0
415,7.0,8.0,7.0
416,7.0,7.0,7.0
417,7.0,7.0,7.0
418,6.0,7.0,7.0
419,4.0,6.0,7.0
420,7.0,8.0,7.0
421,7.0,8.0,7.0
422,6.0,7.0,6.0
423,8.0,8.0,7.0
424,7.0,7.0,7.0
425,8.0,8.0,8.0
426,7.0,7.0,7.0
427,6.0,7.0,6.0
428,7.0,7.0,8.0
429,7.0,7.0,7.0
430,7.0,7.0,7.0
431,7.0,8.0,7.0
432,7.0,7.0,7.0
433,7.0,9.0,8.0
434,8.0,8.0,8.0
435,7.0,8.0,8.0
436,8.0,9.0,8.0
437,8.0,8.0,7.0
438,8.0,8.0,8.0
439,7.0,8.0,7.0
440,7.0,8.0,7.0
441,7.0,7.0,7.0
442,7.0,7.0,7.0
443,7.0,7.0,7.0
444,8.0,8.0,8.0
445,7.0,8.0,7.0
446,8.0,8.0,8.0
447,8.0,8.0,8.0
448,7.0,8.0,7.0
449,8.0,8.0,8.0
450,7.0,8.0,8.0
451,7.0,8.0,7.0
452,7.0,7.0,7.0
453,7.0,7.0,7.0
454,7.0,8.0,7.0
455,7.0,7.0,7.0
456,7.0,7.0,7.0
457,7.0,8.0,7.0
458,7.0,7.0,7.0
459,7.0,8.0,7.0
460,6.0,7.0,7.0
461,7.0,7.0,7.0
462,7.0,8.0,7.0
463,6.0,7.0,6.0
464,7.0,7.0,7.0
465,6.0,7.0,6.0
466,8.0,8.0,8.0
467,7.0,8.0,7.0
468,8.0,8.0,8.0
469,7.0,7.0,7.0
470,8.0,9.0,8.0
471,8.0,8.0,8.0
472,8.0,8.0,7.0
473,7.0,8.0,8.0
474,6.0,7.0,6.0
475,7.0,8.0,7.0
476,7.0,7.0,8.0
477,7.0,8.0,7.0
478,7.0,7.0,7.0
479,8.0,8.0,8.0
480,4.0,7.0,6.0
481,7.0,7.0,7.0
482,7.0,7.0,7.0
483,8.0,8.0,8.0
484,8.0,8.0,8.0
485,8.0,9.0,9.0
486,7.0,7.0,7.0
487,8.0,8.0,7.0
488,8.0,8.0,8.0
489,7.0,7.0,7.0
490,7.0,8.0,7.0
491,3.0,7.0,7.0
492,7.0,7.0,6.0
493,7.0,8.0,8.0
494,7.0,8.0,7.0
495,7.0,7.0,7.0
496,7.0,7.0,7.0
497,7.0,7.0,7.0
498,6.0,7.0,7.0
499,7.0,7.0,7.0
