conversation_id,medical_accuracy,empathy,cultural_sensitivity,conversation_flow,safety_ethics,prep_specific,total_turns,avg_user_length,avg_bot_length,primary_language,error_rate,unique_languages
conv_000,8.5,8.5,8.5,8.5,8.5,8.5,30,100.13333333333334,667.9,Dutch,0.5333333333333333,1
conv_001,8.5,8.5,8.5,8.5,8.5,8.5,30,96.13333333333334,675.6,English,0.5333333333333333,1
conv_002,8.5,8.5,8.5,8.5,8.5,8.5,30,96.83333333333333,680.8666666666667,English,0.5333333333333333,1
conv_003,8.5,8.5,8.5,8.5,8.5,8.5,30,96.56666666666666,633.4333333333333,Portuguese,0.5333333333333333,1
conv_004,8.5,9.5,9.5,8.5,8.5,8.5,30,93.26666666666667,604.9333333333333,Spanish,0.5333333333333333,1
conv_005,8.5,9.5,8.5,8.5,8.5,8.5,30,116.8,753.5333333333333,French,0.5333333333333333,1
conv_006,8.5,8.5,8.5,8.5,8.5,8.5,30,78.9,474.3333333333333,Arabic,0.5333333333333333,1
conv_007,8.5,8.5,9.5,8.5,8.5,8.5,30,99.7,707.6333333333333,Dutch,0.5333333333333333,1
conv_008,8.5,9.5,8.5,8.5,8.5,8.5,30,102.46666666666667,645.1666666666666,Spanish,0.5333333333333333,1
conv_009,8.5,8.5,8.5,8.5,8.5,8.5,30,86.96666666666667,661.8666666666667,Dutch,0.5333333333333333,1
conv_010,8.5,9.5,8.5,8.5,8.5,8.5,30,106.6,656.2333333333333,French,0.5333333333333333,1
conv_011,8.5,8.5,8.5,8.5,8.5,8.5,30,111.63333333333334,689.3,German,0.5333333333333333,1
conv_012,8.5,8.5,8.5,9.0,8.5,8.5,30,100.7,720.6666666666666,English,0.5333333333333333,1
conv_013,8.5,8.5,8.5,8.5,8.5,8.5,30,106.86666666666666,702.6333333333333,English,0.5333333333333333,1
conv_014,8.5,9.0,8.5,8.5,8.5,8.5,30,99.16666666666667,716.3,English,0.5333333333333333,1
conv_015,8.5,8.5,8.5,8.5,8.5,8.5,30,109.06666666666666,706.7333333333333,English,0.5333333333333333,1
conv_016,8.5,8.5,8.5,8.5,9.0,8.5,30,97.96666666666667,688.7333333333333,French,0.5333333333333333,1
conv_017,8.5,9.5,8.5,8.5,8.5,8.5,30,102.03333333333333,628.2,Spanish,0.5333333333333333,1
conv_018,8.5,8.5,8.5,8.5,8.5,8.5,30,103.76666666666667,684.3666666666667,English,0.5333333333333333,1
conv_019,8.5,9.5,8.5,8.5,8.5,8.5,30,122.8,705.2,French,0.5333333333333333,1
conv_020,8.5,8.5,8.5,8.5,8.5,8.5,30,123.83333333333333,678.7333333333333,French,0.5333333333333333,1
conv_021,8.5,8.5,8.5,9.0,8.5,8.5,30,97.33333333333333,691.2,English,0.5333333333333333,1
conv_022,8.5,9.5,8.5,8.5,8.5,8.5,30,130.06666666666666,705.9333333333333,French,0.5333333333333333,1
conv_023,8.5,8.5,8.5,8.5,8.5,8.5,30,78.7,488.4,Arabic,0.5333333333333333,1
conv_024,8.5,8.5,8.5,8.5,8.5,8.5,30,90.8,586.8666666666667,Swahili,0.5333333333333333,1
conv_025,8.5,8.5,8.5,8.5,8.5,8.5,30,107.73333333333333,598.9333333333333,Spanish,0.5333333333333333,1
conv_026,8.5,8.5,8.5,8.5,8.5,8.5,30,98.53333333333333,573.8333333333334,Swahili,0.5333333333333333,1
conv_027,8.5,8.5,8.5,8.5,8.5,8.5,30,94.76666666666667,634.1333333333333,Dutch,0.5333333333333333,1
conv_028,8.5,8.5,8.5,8.5,8.5,8.5,30,108.66666666666667,629.4333333333333,Spanish,0.5333333333333333,1
conv_029,8.5,8.5,8.5,8.5,8.5,8.5,30,94.73333333333333,682.7,English,0.5333333333333333,1
conv_030,8.5,9.5,8.5,8.5,9.5,8.5,30,99.4,655.7,Spanish,0.5333333333333333,1
conv_031,8.5,8.5,8.5,8.5,8.5,8.5,30,83.83333333333333,485.96666666666664,Arabic,0.5333333333333333,1
conv_032,8.5,8.5,9.5,8.5,8.5,9.5,30,105.56666666666666,634.7,Spanish,0.5333333333333333,1
conv_033,8.5,8.5,8.5,8.5,8.5,8.5,30,105.56666666666666,676.2333333333333,French,0.5333333333333333,1
conv_034,8.5,8.5,8.5,8.5,8.5,8.5,30,101.93333333333334,682.4,Dutch,0.5333333333333333,1
conv_035,8.5,8.5,8.5,8.5,8.5,8.5,30,117.4,727.4333333333333,English,0.5333333333333333,1
conv_036,8.5,8.5,9.5,8.5,8.5,8.5,30,100.83333333333333,661.1333333333333,German,0.5333333333333333,1
conv_037,8.5,8.5,8.5,8.5,8.5,8.5,30,100.7,672.3333333333334,Dutch,0.5333333333333333,1
conv_038,8.5,8.5,8.5,9.0,8.5,8.5,30,109.16666666666667,629.0,Spanish,0.5333333333333333,1
conv_039,8.5,8.5,9.5,8.5,9.5,8.5,30,110.0,682.5333333333333,French,0.5333333333333333,1
conv_040,8.5,8.5,8.5,8.5,8.5,8.5,30,117.53333333333333,719.9333333333333,English,0.5333333333333333,1
conv_041,8.5,8.5,8.5,9.0,8.5,8.5,30,95.96666666666667,653.2,Portuguese,0.5333333333333333,1
conv_042,8.5,8.5,8.5,8.5,8.5,8.5,30,107.1,658.1333333333333,English,0.5333333333333333,1
conv_043,8.5,9.5,8.5,8.5,8.5,8.5,30,118.0,690.5,French,0.5333333333333333,1
conv_044,8.5,9.5,8.5,8.5,8.5,8.5,30,95.53333333333333,641.7,Dutch,0.5333333333333333,1
conv_045,8.5,8.5,8.5,8.5,8.5,8.5,30,103.2,685.0,English,0.5333333333333333,1
conv_046,8.5,8.5,8.5,8.5,8.5,8.5,30,104.1,710.3333333333334,English,0.5333333333333333,1
conv_047,8.5,8.5,8.5,8.5,8.5,8.5,30,107.46666666666667,689.8666666666667,English,0.5333333333333333,1
conv_048,8.5,8.5,8.5,9.0,8.5,8.5,30,90.06666666666666,689.1,English,0.5333333333333333,1
conv_049,8.5,8.5,8.5,8.5,8.5,8.5,30,95.33333333333333,694.8,English,0.5333333333333333,1
conv_050,8.5,9.5,8.5,8.5,8.5,8.5,30,117.46666666666667,684.1,French,0.5333333333333333,1
conv_051,8.5,9.0,8.5,8.5,8.5,8.5,30,101.16666666666667,636.7333333333333,Portuguese,0.5333333333333333,1
conv_052,8.5,8.5,8.5,8.5,8.5,8.5,30,103.26666666666667,693.1,English,0.5333333333333333,1
conv_053,8.5,9.5,8.5,8.5,8.5,8.5,30,111.1,624.9666666666667,Spanish,0.5333333333333333,1
conv_054,8.5,9.5,8.5,8.5,8.5,8.5,30,105.56666666666666,656.3,Portuguese,0.5333333333333333,1
conv_055,8.5,9.5,8.5,8.5,8.5,8.5,30,109.66666666666667,655.9,Spanish,0.5333333333333333,1
conv_056,8.5,9.5,8.5,7.5,8.5,8.5,30,100.46666666666667,601.2,Spanish,0.5333333333333333,1
conv_057,8.5,9.5,8.5,9.0,8.5,8.5,30,106.73333333333333,686.7,French,0.5333333333333333,1
conv_058,8.5,8.5,8.5,8.5,8.5,8.5,30,108.8,635.3333333333334,Portuguese,0.5333333333333333,1
conv_059,8.5,9.5,8.5,8.5,8.5,8.5,30,101.4,635.9666666666667,Spanish,0.5333333333333333,1
conv_060,8.5,9.5,8.5,8.5,8.5,8.5,30,100.3,646.1,Spanish,0.5333333333333333,1
conv_061,8.5,8.5,8.5,8.5,8.5,8.5,30,90.03333333333333,710.2666666666667,English,0.5333333333333333,1
conv_062,8.5,9.5,8.5,8.5,8.5,8.5,30,109.63333333333334,625.7666666666667,Portuguese,0.5333333333333333,1
conv_063,8.5,8.5,8.5,8.5,8.5,8.5,30,89.33333333333333,692.0,English,0.5333333333333333,1
conv_064,8.5,9.5,9.5,8.5,9.5,8.5,30,98.5,681.8,French,0.5333333333333333,1
conv_065,8.5,9.5,8.5,8.5,8.5,8.5,30,91.4,575.0,Swahili,0.5333333333333333,1
conv_066,8.5,9.5,8.5,8.5,8.5,8.5,30,76.03333333333333,465.56666666666666,Arabic,0.5333333333333333,1
conv_067,8.5,8.5,8.5,8.5,9.5,8.5,30,110.83333333333333,571.7666666666667,Swahili,0.5333333333333333,1
conv_068,8.5,8.5,9.5,8.5,8.5,8.5,30,116.8,704.7,German,0.5333333333333333,1
conv_069,8.5,9.5,8.5,8.5,8.5,8.5,30,113.96666666666667,627.9333333333333,Spanish,0.5333333333333333,1
conv_070,8.5,8.5,8.5,9.0,8.5,8.5,30,113.5,678.2333333333333,English,0.5333333333333333,1
conv_071,8.5,8.5,8.5,8.5,8.5,8.5,30,93.36666666666666,581.3333333333334,Swahili,0.5333333333333333,1
conv_072,8.5,8.5,8.5,8.5,8.5,8.5,30,109.13333333333334,675.8666666666667,English,0.5333333333333333,1
conv_073,8.5,9.5,8.5,8.5,8.5,8.5,30,113.9,718.6,French,0.5333333333333333,1
conv_074,8.5,9.5,8.5,8.5,8.5,8.5,30,108.4,679.7,French,0.5333333333333333,1
conv_075,8.5,8.5,8.5,8.5,8.5,8.5,30,97.8,543.1333333333333,Swahili,0.5333333333333333,1
conv_076,8.5,8.5,8.5,8.5,8.5,8.5,30,106.6,566.1,Swahili,0.5333333333333333,1
conv_077,8.5,9.5,8.5,8.5,9.5,8.5,30,117.3,700.5,French,0.5333333333333333,1
conv_078,8.5,8.5,8.5,8.5,8.5,8.5,30,100.3,699.3333333333334,English,0.5333333333333333,1
conv_079,8.5,8.5,8.5,8.5,8.5,8.5,30,112.46666666666667,739.7,English,0.5333333333333333,1
conv_080,8.5,8.5,8.5,8.5,8.5,8.5,30,99.53333333333333,632.5,Portuguese,0.5333333333333333,1
conv_081,8.5,8.5,8.5,8.5,8.5,8.5,30,112.66666666666667,675.4333333333333,German,0.5333333333333333,1
conv_082,8.5,8.5,8.5,8.5,8.5,8.5,30,97.16666666666667,691.9333333333333,English,0.5333333333333333,1
conv_083,8.5,9.5,8.5,8.5,8.5,8.5,30,90.53333333333333,623.8,Spanish,0.5333333333333333,1
conv_084,8.5,8.5,8.5,8.5,8.5,8.5,30,93.3,578.3,Swahili,0.5333333333333333,1
conv_085,8.5,9.5,8.5,8.5,8.5,8.5,30,106.76666666666667,625.2666666666667,Spanish,0.5333333333333333,1
conv_086,8.5,9.5,8.5,8.5,8.5,8.5,30,82.26666666666667,485.8,Arabic,0.5333333333333333,1
conv_087,8.5,9.5,8.5,8.5,8.5,8.5,30,88.0,547.9333333333333,Swahili,0.5333333333333333,1
conv_088,8.5,9.5,8.5,8.5,8.5,8.5,30,108.53333333333333,636.1666666666666,Dutch,0.5333333333333333,1
conv_089,8.5,8.5,8.5,9.0,8.5,8.5,30,106.33333333333333,721.7333333333333,German,0.5333333333333333,1
conv_090,8.5,9.0,8.5,8.5,8.5,8.5,30,96.2,625.0666666666667,Portuguese,0.5333333333333333,1
conv_091,8.5,8.5,8.5,8.5,8.5,8.5,30,91.33333333333333,647.6333333333333,Dutch,0.5333333333333333,1
conv_092,8.5,8.5,8.5,8.5,8.5,8.5,30,102.1,673.7,German,0.5333333333333333,1
conv_093,8.5,8.5,8.5,8.5,8.5,8.5,30,114.73333333333333,707.1666666666666,English,0.5333333333333333,1
conv_094,8.5,9.5,8.5,8.5,8.5,8.5,30,113.7,686.2666666666667,German,0.5333333333333333,1
conv_095,8.5,8.5,8.5,8.5,8.5,8.5,30,92.73333333333333,696.2666666666667,English,0.5333333333333333,1
conv_096,8.5,8.5,8.5,8.5,8.5,8.5,30,100.33333333333333,556.4666666666667,Swahili,0.5333333333333333,1
conv_097,8.5,9.5,8.5,8.5,8.5,8.5,30,114.56666666666666,661.1666666666666,Spanish,0.5333333333333333,1
conv_098,8.5,8.5,8.5,8.5,8.5,8.5,30,104.06666666666666,696.6,English,0.5333333333333333,1
conv_099,8.5,9.5,9.5,8.5,8.5,8.5,30,106.86666666666666,637.9333333333333,Spanish,0.5333333333333333,1
conv_100,8.5,8.5,8.5,8.5,8.5,8.5,30,101.83333333333333,704.7,English,0.5333333333333333,1
conv_101,8.5,8.5,8.5,8.5,8.5,8.5,30,87.06666666666666,638.6333333333333,Dutch,0.5333333333333333,1
conv_102,8.5,9.0,8.5,8.5,8.5,8.5,30,104.73333333333333,626.7666666666667,Spanish,0.5333333333333333,1
conv_103,8.5,8.5,8.5,8.5,9.0,8.5,30,102.8,563.5,Swahili,0.5333333333333333,1
conv_104,8.5,9.5,8.5,8.5,8.5,8.5,30,90.5,504.3333333333333,Arabic,0.5333333333333333,1
